User Input,Chatbot Response,Timestamp
HELLO ,Hey! How’s your crypto stash doing?,2025-03-15 11:05:29
what is bitcoin,BTC runs on blockchain—secure and borderless.,2025-03-15 11:05:43
ethereum?,It’s like Bitcoin but with extra superpowers.,2025-03-15 11:05:51
doge,Yo! What’s cooking in your wallet?,2025-03-15 11:05:54
profits,Hey! How’s your crypto stash doing?,2025-03-15 11:05:58
profitswhats hashing ,Good morning! Hope your portfolio’s green today!,2025-03-15 11:06:01
morning ,Hello! Let’s dive into the blockchain vibes.,2025-03-15 11:06:04
morning hello  ,Hey! How’s your crypto stash doing?,2025-03-15 11:06:06
hello ,Good morning! Hope your portfolio’s green today!,2025-03-15 11:06:08
what is blockchain ,Blockchain’s like a tamper-proof notebook shared across tons of computers—super secure!,2025-03-15 11:06:16
hi,Hey there! Ready to talk crypto?,2025-03-15 11:17:02
who are you,Hey! How’s your crypto stash doing?,2025-03-15 11:17:09
about,"People dig crypto for fast transfers, privacy, and betting on the future. It’s money 2.0!",2025-03-15 11:17:29
About,"People dig crypto for fast transfers, privacy, and betting on the future. It’s money 2.0!",2025-03-15 11:17:35
About,"Crypto is digital cash powered by blockchain—no banks, just code and freedom!",2025-03-15 11:17:47
bitcoin,Bitcoin’s the first crypto—digital gold since 2009!,2025-03-15 11:18:11
help,Hello! Let’s dive into the blockchain vibes.,2025-03-15 11:19:44
hello,Good morning! Hope your portfolio’s green today!,2025-03-15 11:24:21
by,Hello! Let’s dive into the blockchain vibes.,2025-03-15 11:29:10
bye,See ya! May your trades be profitable.,2025-03-15 11:29:14
goodbye,Take care! Don’t get rekt out there.,2025-03-15 11:29:20
hi,Yo! What’s cooking in your wallet?,2025-03-15 11:33:12
whats hashing ,Hello! Let’s dive into the blockchain vibes.,2025-03-15 11:33:19
blockchain ,Blockchain’s like a tamper-proof notebook shared across tons of computers—super secure!,2025-03-15 11:33:25
node,Hey! How’s your crypto stash doing?,2025-03-15 11:33:28
bull,Yo! What’s cooking in your wallet?,2025-03-15 11:33:32
profit,Yo! What’s cooking in your wallet?,2025-03-15 11:33:35
bye,Take care! Don’t get rekt out there.,2025-03-15 11:38:49
goodbye,Catch you later! Keep your keys safe.,2025-03-15 11:38:53
elon musk,Yo! What’s cooking in your wallet?,2025-03-15 11:38:58
thanks,Glad I could assist! Crypto’s better with friends.,2025-03-15 11:39:10
hi,Hello! Let’s dive into the blockchain vibes.,2025-03-15 11:39:19
help,Good morning! Hope your portfolio’s green today!,2025-03-15 11:39:47
Help,Yo! What’s cooking in your wallet?,2025-03-15 11:40:11
how does this work?,"People dig crypto for fast transfers, privacy, and betting on the future. It’s money 2.0!",2025-03-15 11:40:26
hello,Good morning! Hope your portfolio’s green today!,2025-03-15 11:47:52
rewards,Hey! How’s your crypto stash doing?,2025-03-15 11:49:02
what are mining rewards?,Yo! What’s cooking in your wallet?,2025-03-15 11:49:12
hi,Hey there! Ready to talk crypto?,2025-03-15 11:50:28
yes,Hello! Let’s dive into the blockchain vibes.,2025-03-15 11:50:32
bitcoin,"It’s a cryptocurrency that runs on a blockchain, allowing peer-to-peer transactions without intermediaries.",2025-03-15 11:50:36
eth,Good morning! Hope your portfolio’s green today!,2025-03-15 11:50:39
well,Hey there! Ready to talk crypto?,2025-03-15 11:50:42
hello,Hey there! Ready to talk crypto?,2025-03-15 11:55:18
how are you,Hello! Let’s dive into the blockchain vibes.,2025-03-15 11:55:23
whats bitcoin,"It’s a cryptocurrency that runs on a blockchain, allowing peer-to-peer transactions without intermediaries.",2025-03-15 11:55:28
hats ethereum?,Ethereum is a blockchain platform that supports smart contracts and its own cryptocurrency called Ether.,2025-03-15 11:55:35
whats doge coin?,Good morning! Hope your portfolio’s green today!,2025-03-15 11:55:40
what the price of bitcoin?,Hey! How’s your crypto stash doing?,2025-03-15 11:55:52
what is mining?,Hey! How’s your crypto stash doing?,2025-03-15 11:56:01
nft,Hello! Let’s dive into the blockchain vibes.,2025-03-15 11:56:10
pow,Hey there! Ready to talk crypto?,2025-03-15 11:56:15
what,Hey there! Ready to talk crypto?,2025-03-15 11:56:46
wh,Hello! Let’s dive into the blockchain vibes.,2025-03-15 11:56:50
btc,Yo! What’s cooking in your wallet?,2025-03-15 11:56:53
help,Hey there! Ready to talk crypto?,2025-03-15 11:57:02
hello,Yo! What’s cooking in your wallet?,2025-03-15 12:02:59
hi,Good morning! Hope your portfolio’s green today!,2025-03-15 12:03:10
whats nft,Good morning! Hope your portfolio’s green today!,2025-03-15 12:03:17
BITCOIN,Bitcoin uses a Proof of Work system where miners solve complex math problems to validate transactions.,2025-03-15 12:03:24
eth,Yo! What’s cooking in your wallet?,2025-03-15 12:03:27
be,Yo! What’s cooking in your wallet?,2025-03-15 12:03:38
bye,Catch you later! Keep your keys safe.,2025-03-15 12:03:41
price of bitcoin,Yo! What’s cooking in your wallet?,2025-03-15 12:03:57
hello,Hey there! Ready to talk crypto?,2025-03-15 12:05:18
what is NFT?,Good morning! Hope your portfolio’s green today!,2025-03-15 12:05:28
What are NFTs?,Built on Ethereum—digital bragging rights!,2025-03-15 12:08:11
HELLO,Hey! How’s your crypto stash?,2025-03-15 12:08:20
wht is bitcoin ,Bitcoin’s the first crypto—digital gold!,2025-03-15 12:08:37
elon musk,He’s pro-crypto—Tesla even held Bitcoin!,2025-03-15 12:08:42
option,Hey! How’s your crypto stash?,2025-03-15 12:08:54
what you can do ?,Hey there! Ready to talk crypto?,2025-03-15 12:09:00
what?,Hello! Let’s dive into blockchain vibes.,2025-03-15 12:09:06
risks?,Good morning! Hope your portfolio’s green!,2025-03-15 12:09:13
smart-contraccts,"Ethereum’s baby—trust in code, not people!",2025-03-15 12:09:23
dei?,Hello! Let’s dive into blockchain vibes.,2025-03-15 12:09:28
defi?,"Lending, borrowing, all on-chain—wild!",2025-03-15 12:09:31
nodes?,"More nodes, stronger network—decentralized magic!",2025-03-15 12:09:42
satosi ,Good morning! Hope your portfolio’s green!,2025-03-15 12:09:49
satosi satoshi,Published Bitcoin’s whitepaper in 2008.,2025-03-15 12:09:51
price of bitcoin,The current price of Bitcoin is $84227 USD.,2025-03-15 12:10:48
price of eh,The current price of Ethereum is $1927.77 USD.,2025-03-15 12:10:53
price of doe,The current price of Ethereum is $1927.77 USD.,2025-03-15 12:10:56
price of doge,The current price of Dogecoin is $0.174247 USD.,2025-03-15 12:10:59
price of  ada,The current price of Ethereum is $1927.77 USD.,2025-03-15 12:11:05
price of  cardano,The current price of Ethereum is $1927.77 USD.,2025-03-15 12:11:09
price of  Cardano,The current price of Cardano is $0.743403 USD.,2025-03-15 12:14:25
price of bitcoin,The current price of Bitcoin is $84192 USD.,2025-03-15 12:15:56
BITCIN PRICE,The current price of Dogecoin is $0.174038 USD.,2025-03-15 12:16:02
BITCOIN PRICE,The current price of Bitcoin is $84192 USD.,2025-03-15 12:16:07
DOGECOIN PRICE,The current price of Dogecoin is $0.174038 USD.,2025-03-15 12:16:14
What’s Bitcoin’s price?,The current price of Bitcoin is $84050 USD.,2025-03-15 13:20:02
hi,Hello! Let’s dive into blockchain vibes.,2025-03-15 13:21:28
price of bitcoin,The current price of Bitcoin is $84030 USD.,2025-03-15 13:22:44
elon musk,Elon’s a Dogecoin fan—tweets move markets!,2025-03-15 13:22:52
price of bitcoin,The current price of Bitcoin is $84614 USD.,2025-03-19 22:27:14
price of dogecoin,The current price of Dogecoin is $0.171573 USD.,2025-03-19 22:27:25
news today,Hey! How’s your crypto stash?,2025-03-19 22:27:33
hello,Yo! What’s cooking in your wallet?,2025-03-19 22:27:38
bye,Catch you later! Keep your keys safe.,2025-03-19 22:27:42
WHATS THE PRICE OF BITCOIN,The current price of Bitcoin is $85680 USD.,2025-03-20 10:36:12
SATOSHI,A legend who sparked a revolution!,2025-03-20 10:36:29
BITCOIN,The current price of Bitcoin is $85680 USD.,2025-03-20 10:36:35
NFT,Hey there! Ready to talk crypto?,2025-03-20 10:36:40
price of dogecoin,The current price of Dogecoin is $0.174732 USD.,2025-03-20 10:36:52
whats maket sentiment ,Yo! What’s cooking in your wallet?,2025-03-20 10:36:59
hashing,Miners hash to solve blocks—brain teaser stuff!,2025-03-20 10:37:38
